"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 03 22:04:29 IST 2024","Sat Aug 03 22:04:36 IST 2024","6714","","UIBasics.spec.js","","","","@UI Second case of Play wright test",""
"passed","Sun Aug 04 10:36:33 IST 2024","Sun Aug 04 10:36:35 IST 2024","1752","safari","UIBasics.spec.js","","","","@UI Second case of Play wright test",""
"failed","Sat Aug 03 22:12:17 IST 2024","Sat Aug 03 22:12:21 IST 2024","3305","","excelutil.spec.js","","","","@API  Excel data fetching automation case",""
"passed","Sun Aug 04 10:36:44 IST 2024","Sun Aug 04 10:36:46 IST 2024","2540","chrome","UIBasics.spec.js","","","","@UI Second case of Play wright test",""
"passed","Sat Aug 03 22:04:29 IST 2024","Sat Aug 03 22:04:31 IST 2024","1544","","UIBasics.spec.js","","","","@UI FirstTestCase of Play wright test",""
"passed","Sun Aug 04 10:36:42 IST 2024","Sun Aug 04 10:36:43 IST 2024","1588","chrome","UIBasics.spec.js","","","","@UI FirstTestCase of Play wright test",""
"passed","Sun Aug 04 10:36:39 IST 2024","Sun Aug 04 10:36:40 IST 2024","712","firefox","UIBasics.spec.js","","","","@UI Second case of Play wright test",""
"failed","Sat Aug 03 22:04:30 IST 2024","Sat Aug 03 22:04:34 IST 2024","3675","","utils\excelutil.spec.js","","","","@API Excel data fetching automation case",""
"passed","Sat Aug 03 22:04:29 IST 2024","Sat Aug 03 22:04:32 IST 2024","3028","","WebApi.spec.js","","","","Calendar validations",""
"passed","Sun Aug 04 10:36:36 IST 2024","Sun Aug 04 10:36:38 IST 2024","2498","firefox","UIBasics.spec.js","","","","@UI FirstTestCase of Play wright test",""
"passed","Sun Aug 04 10:36:30 IST 2024","Sun Aug 04 10:36:33 IST 2024","2523","safari","UIBasics.spec.js","","","","@UI FirstTestCase of Play wright test",""
"passed","Sat Aug 03 21:45:56 IST 2024","Sat Aug 03 21:45:58 IST 2024","1485","","UIBasics.spec.js","","","","Second case of Play wright test",""
